Column,translation,Question,year
Respondent,对应的随机序列号,Respondent ID number,2017
Professional,专业性描述,Which of the following best describes you?,2017
ProgramHobby,编程作为爱好,Do you program as a hobby or contribute to open source projects?,2017
Country,国家,In which country do you currently live?,2017
University,当前是否为学生,"Are you currently enrolled in a formal, degree-granting college or university program?",2017
EmploymentStatus,工作状态,Which of the following best describes your current employment status?,2017
FormalEducation,完成的最高学位,Which of the following best describes the highest level of formal education that you've completed?,2017
MajorUndergrad,本科专业,Which of the following best describes your main field of study (aka 'major') in college or university/for your undergraduate studies?,2017
HomeRemote,远程和在工作频率,How often do you work from home or remotely?,2017
CompanySize,公司大小,"In terms of the number of employees, how large is the company or organization you work for?",2017
CompanyType,公司类型,Which of the following best describes the type of company or organization you work for?,2017
YearsProgram,第一次学习编程是多久前,How long has it been since you first learned how to program?,2017
YearsCodedJob,以编程为工作多少年了,For how many years have you coded as part of your job?,2017
YearsCodedJobPast,编程应用在工作中时长,For how many years did you code as part of your job?,2017
DeveloperType,开发类型-2017年数据,Which of the following best describe you?,2017
WebDeveloperType,网页开发者最佳描述,Which of the following best describes you as a Web developer?,2017
MobileDeveloperType,移动开发类型,For which of the following platforms do you develop mobile applications?,2017
NonDeveloperType,作为非开发者的工作,Which of the following describe you?,2017
CareerSatisfaction,职业满意度,Career satisfaction rating,2017
JobSatisfaction,工作满意度,Job satisfaction rating,2017
ExCoderReturn,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? If money weren't an issue, I would take a coding job again",2017
ExCoderNotForMe,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? Working as a developer just wasn't for me",2017
ExCoderBalance,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I have better work-life balance now than I did as a developer",2017
ExCoder10Years,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? My career is going the way I thought it would 10 years ago",2017
ExCoderBelonged,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? When I was a developer, I didn't feel like I belonged with my colleagues",2017
ExCoderSkills,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I don't think my coding skills are up to date",2017
ExCoderWillNotCode,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I probably won't code for a living ever again",2017
ExCoderActive,对编程的态度,"You said before that you used to code as part of your job, but no longer do. To what extent do you agree or disagree with the following statements? I'm still active in the developer community",2017
PronounceGIF,GIF 发音,"How do you pronounce ""GIF""?",2017
ProblemSolving,解决问题态度,I love solving problems,2017
BuildingThings,工作内容-对创造性工作态度,Building things is very rewarding,2017
LearningNewTech,学习新技术,Learning new technologies is fun,2017
BoringDetails,工作内容-对工作细节满意度,I tend to get bored by implementation details,2017
JobSecurity,,Job security is important to me,2017
DiversityImportant,多样工作环境重要性,Diversity in the workplace is important,2017
AnnoyingUI,软件 UI 重要性,It annoys me when software has a poor UI,2017
FriendsDevelopers,朋友是否为开发者,"Most of my friends are developers, engineers, or scientists",2017
RightWrongWay,描述性选项同意情况,There's a right and a wrong way to do everything,2017
